dɛmdie,owuo,5.47
nwodwoowa,ahosane,7.91
krataa,kuo,4.97
yaresafoɔ,adwumayɛfoɔ,5
yaresafoɔ,ɛka,5.19
ɛka,nsiakyibaa,7.03
adesuabea,mfinimfini,3.44
aseɛ,mogyaborosoɔ,2.31
aseɛ,nnyinasoɔ,5.91
ɔha,ɔhankyɛmu,7.38
Harvard,Yale,8.13
ayaresabea,adan,4.63
mmaranimfoɔ,adanseɛ,6.69
nkwa,owuo,7.88
nkwa,mmerɛ,4.5
asɛmfua,nsɛdie,4.75
badwa,bɔdinkyerɛ,4.47
amrado,nsɛmmisa,3.25
asomdwoeɛ,ahunumu,3.69
asomdwoeɛ,nsiakyibaa,2.94
asaase,kilomita,5.28
kwantuo,dwumadie,5
akansie,akansideɛ,6.44
ɔtɔfoɔ,awerɛhyɛmu,4.13
ɔtɔfoɔ,ahoɔden,4.75
ɔhaw,wiemhyɛn gyinabea,2.38
ɛhyɛn,etuo,4.94
firi,krataa,8.06
firi,asɛm,5.31
nkrataasɛm,nhyehyɛeɛ,6
nhyehyɛeɛ,daberɛ,5.41
bosome,ahɔhofie,1.81
nsɛsoɔ,su,8.97
mmaeɛ,ahɔhofie,6
mpa,ntaadekorabea,6.72
ntaadekorabea,ntaadeɛ,8
tebea,awieeɛ,4.81
tebea,ahoteɛ,3.88
kyerɛpɛn,nkabɔmu,2.25
ɔkwan,beaeɛ,6.44
ɔkwan,nkwadaa,4.94
kowaa,dwadi,3.88
kowaa,nya,2.88
nkyekyemu,akatua,7.63
nkyekyemu,anobu,6.48
anobu,nkonta,8.44
sika,dwa,7.5
ngo,sikatam,6.34
nkaebɔ,adwumayɛ,3.38
nkaebɔ,kɔkɔbɔ,6
mfasoɔ,kɔkɔbɔ,3.88
mfasoɔ,ɛka,7.63
dɔla,yen,7.78
dɔla,kobo,9.22
dɔla,mfasoɔ,7.38
dɔla,ɛka,6.09
kɔmputa,software,8.5
nɛtwɛk,hardware,8.31
hamakasofoɔ,adwumayɛdeɛ,7.13
equipment,yɛfoɔ,5.91
tamudi,ɛhyɛn,6.47
num,bosome,3.38
amanebɔ,nya,3.63
nsuo,nsuo,7.89
agorɔ,nkonim,7.03
agorɔ,kuo,7.69
mirika tenten,mirikahyew,7.47
agorɔ,nnidisoɔ,6.19
agorɔ,nkuguo,6.97
nson,nnidisoɔ,3.56
nsuomunam,ɛpo,7.47
nsuomunam,aduane,8.34
nsuomunam,ɔbɔnkɔ,8.7
ɔbɔnkɔ,aduane,7.81
ɔbɔnkɔ,nsa,5.7
aduane,ahoboa,6.22
kasamfonini,akoraeɛ,6.34
ahyɛaseɛ,afe,4.06
ahyɛaseɛ,agokansie,4.47
agorɔ,ɔfa,5.97
akutrukubɔ,ɔfa,7.61
akansie,akansie,8.36
nsanehɔ,nsiakyibaa,2.69
ɛda,twaberɛ,3.94
twaberɛ,ɔpɛ,7.16
twaberɛ,abɔdeɛ,5.63
ɛda,ahemadakye,7.53
abɔdeɛ,barima,6.25
barima,ɔbaa,8.3
barima,amrado,5.25
awudie,nipakum,8.53
samina,nwomagodie,7.94
nwomagodie,agorɔkyerɛ,6.88
nkwa,adesua,5.94
adwumayɛ,hyɛnmufoɔ,6.25
television,sini,7.72
dɔfoɔ,akasakasa,6.19
hwɛfoɔ,nnidisoɔ,2.97
tumi,abaayewa,1.94
amanfoɔ,mpɔntuo,3.75
papa ne bɔne,awareɛ,3.69
Mexiko,Brazil,7.44
nsesaeɛ,suban,5.44
abusua,nhyehyeɛ,6.25
nwomagodie,adwuma nkorabata,2.63
asikyire,ɔkwan,0.88
amanneɛ,ahyehyɛdeɛ,3.19
asoeɛeɛ,amammerɛ,4.69
ɔhaw,mpoatwa,6.75
kɛseɛ,edin,5.31
ɔman,ɔmanba,7.31
okyinsoroma,nkrɔfoɔ,5.75
mpɔntuo,asɛmpɔ,3.97
suahunu,nnwom,3.47
nnwom,dwumadie,3.63
ahwehwɛ,dadeɛ,5.56
alumina,dadeɛ,7.83
yi kyerɛ,nkaedeɛ,5.31
rock,jazz,7.59
ehunumu,ewiase,6.53
rekora biribi,ewiase,6.19
nnyetom,akwanya krataa,7.69
pete,ahum,6.31
pete,nsuyiri,6.03
atoyerɛnkyɛm,beaeɛ,6.25
amrado,adwuma atenaeɛ,6.34
